Name,Name2,Primary Type,Secondary type,Attack,Defense,HP,Sp.Attack,Sp.Defense,Speed,Total
Latias,Mega Latias,DRAGON,PSYCHIC,100,120,80,140,150,110,700
Latios,,DRAGON,PSYCHIC,90,80,80,130,110,110,600
Latios,Mega Latios,DRAGON,PSYCHIC,130,100,80,160,120,110,700
Kyogre,,WATER,,100,90,100,150,140,90,670
Kyogre,Primal Kyogre,WATER,,150,90,100,180,160,90,770
Groudon,,GROUND,,150,140,100,100,90,90,670
Groudon,Primal Groudon,GROUND,FIRE,180,160,100,150,90,90,770
Rayquaza,,DRAGON,FLYING,150,90,105,150,90,95,680
Rayquaza,Mega Rayquaza,DRAGON,FLYING,180,100,105,180,100,115,780
Jirachi,,STEEL,PSYCHIC,100,100,100,100,100,100,600
Deoxys,Normal Forme,PSYCHIC,,150,50,50,150,50,150,600
Deoxys,Attack Forme,PSYCHIC,,180,20,50,180,20,150,600
Deoxys,Defense Forme,PSYCHIC,,70,160,50,70,160,90,600
Deoxys,Speed Forme,PSYCHIC,,95,90,50,95,90,180,600
Turtwig,,GRASS,,68,64,55,45,55,31,318
Grotle,,GRASS,,89,85,75,55,65,36,405
Torterra,,GRASS,GROUND,109,105,95,75,85,56,525
Chimchar,,FIRE,,58,44,44,58,44,61,309
Monferno,,FIRE,FIGHTING,78,52,64,78,52,81,405
Infernape,,FIRE,FIGHTING,104,71,76,104,71,108,534
Piplup,,WATER,,51,53,53,61,56,40,314
Prinplup,,WATER,,66,68,64,81,76,50,405
Empoleon,,WATER,STEEL,86,88,84,111,101,60,530
Starly,,NORMAL,FLYING,55,30,40,30,30,60,245
Staravia,,NORMAL,FLYING,75,50,55,40,40,80,340
Staraptor,,NORMAL,FLYING,120,70,85,50,60,100,485
Bidoof,,NORMAL,,45,40,59,35,40,31,250
Bibarel,,NORMAL,WATER,85,60,79,55,60,71,410
Kricketot,,BUG,,25,41,37,25,41,25,194
Kricketune,,BUG,,85,51,77,55,51,65,384
Shinx,,ELECTRIC,,65,34,45,40,34,45,263
Luxio,,ELECTRIC,,85,49,60,60,49,60,363
Luxray,,ELECTRIC,,120,79,80,95,79,70,523
Budew,,GRASS,POISON,30,35,40,50,70,55,280
Roserade,,GRASS,POISON,70,65,60,125,105,90,515
Cranidos,,ROCK,,125,40,67,30,30,58,350
Rampardos,,ROCK,,165,60,97,65,50,58,495
Shieldon,,ROCK,STEEL,42,118,30,42,88,30,350
Bastiodon,,ROCK,STEEL,52,168,60,47,138,30,495
Burmy,,BUG,,29,45,40,29,45,36,224
Wormadam,Plant Cloak,BUG,GRASS,59,85,60,79,105,36,424
Wormadam,Sandy Cloak,BUG,GROUND,79,105,60,59,85,36,424
Wormadam,Trash Cloak,BUG,STEEL,69,95,60,69,95,36,424
Mothim,,BUG,FLYING,94,50,70,94,50,66,424
Combee,,BUG,FLYING,30,42,30,30,42,70,244
Vespiquen,,BUG,FLYING,80,102,70,80,102,40,474
Pachirisu,,ELECTRIC,,45,70,60,45,90,95,405
Buizel,,WATER,,65,35,55,60,30,85,330
Floatzel,,WATER,,105,55,85,85,50,115,495
Cherubi,,GRASS,,35,45,45,62,53,35,275
Cherrim,,GRASS,,60,70,70,87,78,85,450
Shellos,,WATER,,48,48,76,57,62,34,325
Gastrodon,,WATER,GROUND,83,68,111,92,82,39,475
Ambipom,,NORMAL,,100,66,75,60,66,115,482
Drifloon,,GHOST,FLYING,50,34,90,60,44,70,348
Drifblim,,GHOST,FLYING,80,44,150,90,54,80,498
Buneary,,NORMAL,,66,44,55,44,56,85,350
Lopunny,,NORMAL,,76,84,65,54,96,105,480
Lopunny,Mega Lopunny,NORMAL,FIGHTING,136,94,65,54,96,135,580
Mismagius,,GHOST,,60,60,60,105,105,105,495
Honchkrow,,DARK,FLYING,125,52,100,105,52,71,505
Glameow,,NORMAL,,55,42,49,42,37,85,310
Purugly,,NORMAL,,82,64,71,64,59,112,452
Chingling,,PSYCHIC,,30,50,45,65,50,45,285
Stunky,,POISON,DARK,63,47,63,41,41,74,329
Skuntank,,POISON,DARK,93,67,103,71,61,84,479
Bronzor,,STEEL,PSYCHIC,24,86,57,24,86,23,300
Bronzong,,STEEL,PSYCHIC,89,116,67,79,116,33,500
Bonsly,,ROCK,,80,95,50,10,45,10,290
Mime Jr.,,PSYCHIC,FAIRY,25,45,20,70,90,60,310
Happiny,,NORMAL,,5,5,100,15,65,30,220
Chatot,,NORMAL,FLYING,65,45,76,92,42,91,411
Spiritomb,,GHOST,DARK,92,108,50,92,108,35,485
Gible,,DRAGON,GROUND,70,45,58,40,45,42,300
Gabite,,DRAGON,GROUND,90,65,68,50,55,82,410
Garchomp,,DRAGON,GROUND,130,95,108,80,85,102,600
Garchomp,Mega Garchomp,DRAGON,GROUND,170,115,108,120,95,92,700
Munchlax,,NORMAL,,85,40,135,40,85,5,390
Riolu,,FIGHTING,,70,40,40,35,40,60,285
Lucario,,FIGHTING,STEEL,110,70,70,115,70,90,525
Lucario,Mega Lucario,FIGHTING,STEEL,145,88,70,140,70,112,625
Hippopotas,,GROUND,,72,78,68,38,42,32,330
Hippowdon,,GROUND,,112,118,108,68,72,47,525
Skorupi,,POISON,BUG,50,90,40,30,55,65,330
Drapion,,POISON,DARK,90,110,70,60,75,95,500
Croagunk,,POISON,FIGHTING,61,40,48,61,40,50,300
Toxicroak,,POISON,FIGHTING,106,65,83,86,65,85,490
Carnivine,,GRASS,,100,72,74,90,72,46,454
Finneon,,WATER,,49,56,49,49,61,66,330
Lumineon,,WATER,,69,76,69,69,86,91,460
Mantyke,,WATER,FLYING,20,50,45,60,120,50,345
Snover,,GRASS,ICE,62,50,60,62,60,40,334
Abomasnow,,GRASS,ICE,92,75,90,92,85,60,494
Abomasnow,Mega Abomasnow,GRASS,ICE,132,105,90,132,105,30,594
Weavile,,DARK,ICE,120,65,70,45,85,125,510
Magnezone,,ELECTRIC,STEEL,70,115,70,130,90,60,535
Lickilicky,,NORMAL,,85,95,110,80,95,50,515
Rhyperior,,GROUND,ROCK,140,130,115,55,55,40,535
Tangrowth,,GRASS,,100,125,100,110,50,50,535
Electivire,,ELECTRIC,,123,67,75,95,85,95,540
Magmortar,,FIRE,,95,67,75,125,95,83,540
Togekiss,,FAIRY,FLYING,50,95,85,120,115,80,545
Yanmega,,BUG,FLYING,76,86,86,116,56,95,515
Leafeon,,GRASS,,110,130,65,60,65,95,525
Glaceon,,ICE,,60,110,65,130,95,65,525
Gliscor,,GROUND,FLYING,95,125,75,45,75,95,510
Mamoswine,,ICE,GROUND,130,80,110,70,60,80,530
Porygon-Z,,NORMAL,,80,70,85,135,75,90,535
Gallade,,PSYCHIC,FIGHTING,125,65,68,65,115,80,518
Gallade,Mega Gallade,PSYCHIC,FIGHTING,165,95,68,65,115,110,618
Probopass,,ROCK,STEEL,55,145,60,75,150,40,525
Dusknoir,,GHOST,,100,135,45,65,135,45,525
Froslass,,ICE,GHOST,80,70,70,80,70,110,480
Rotom,,ELECTRIC,GHOST,50,77,50,95,77,91,440
Rotom,Heat Rotom,ELECTRIC,FIRE,65,107,50,105,107,86,520
Rotom,Wash Rotom,ELECTRIC,WATER,65,107,50,105,107,86,520
Rotom,Frost Rotom,ELECTRIC,ICE,65,107,50,105,107,86,520
Rotom,Fan Rotom,ELECTRIC,FLYING,65,107,50,105,107,86,520
Rotom,Mow Rotom,ELECTRIC,GRASS,65,107,50,105,107,86,520
Uxie,,PSYCHIC,,75,130,75,75,130,95,580
Mesprit,,PSYCHIC,,105,105,80,105,105,80,580
Azelf,,PSYCHIC,,125,70,75,125,70,115,580
Dialga,,STEEL,DRAGON,120,120,100,150,100,90,680
Palkia,,WATER,DRAGON,120,100,90,150,120,100,680
Heatran,,FIRE,STEEL,90,106,91,130,106,77,600
Regigigas,,NORMAL,,160,110,110,80,110,100,670
Giratina,Altered Forme,GHOST,DRAGON,100,120,150,100,120,90,680
Giratina,Origin Forme,GHOST,DRAGON,120,100,150,120,100,90,680
Cresselia,,PSYCHIC,,70,120,120,75,130,85,600
Phione,,WATER,,80,80,80,80,80,80,480
Manaphy,,WATER,,100,100,100,100,100,100,600
Darkrai,,DARK,,90,90,70,135,90,125,600
Shaymin,Land Forme,GRASS,,100,100,100,100,100,100,600
Shaymin,Sky Forme,GRASS,FLYING,103,75,100,120,75,127,600
Arceus,,NORMAL,,120,120,120,120,120,120,720
Victini,,PSYCHIC,FIRE,100,100,100,100,100,100,600
Snivy,,GRASS,,45,55,45,45,55,63,308
Servine,,GRASS,,60,75,60,60,75,83,413
Serperior,,GRASS,,75,95,75,75,95,113,528
Tepig,,FIRE,,63,45,65,45,45,45,308
Pignite,,FIRE,FIGHTING,93,55,90,70,55,55,418
Emboar,,FIRE,FIGHTING,123,65,110,100,65,65,528
Oshawott,,WATER,,55,45,55,63,45,45,308
Dewott,,WATER,,75,60,75,83,60,60,413
Samurott,,WATER,,100,85,95,108,70,70,528
Patrat,,NORMAL,,55,39,45,35,39,42,255
Watchog,,NORMAL,,85,69,60,60,69,77,420
Lillipup,,NORMAL,,60,45,45,25,45,55,275
Herdier,,NORMAL,,80,65,65,35,65,60,370
Stoutland,,NORMAL,,110,90,85,45,90,80,500
Purrloin,,DARK,,50,37,41,50,37,66,281
Liepard,,DARK,,88,50,64,88,50,106,446
Pansage,,GRASS,,53,48,50,53,48,64,316
Simisage,,GRASS,,98,63,75,98,63,101,498
Pansear,,FIRE,,53,48,50,53,48,64,316
Simisear,,FIRE,,98,63,75,98,63,101,498
Panpour,,WATER,,53,48,50,53,48,64,316
Simipour,,WATER,,98,63,75,98,63,101,498
Munna,,PSYCHIC,,25,45,76,67,55,24,292
Musharna,,PSYCHIC,,55,85,116,107,95,29,487
Pidove,,NORMAL,FLYING,55,50,50,36,30,43,264
Tranquill,,NORMAL,FLYING,77,62,62,50,42,65,358
Unfezant,,NORMAL,FLYING,115,80,80,65,55,93,488
Blitzle,,ELECTRIC,,60,32,45,50,32,76,295
Zebstrika,,ELECTRIC,,100,63,75,80,63,116,497
Roggenrola,,ROCK,,75,85,55,25,25,15,280
Boldore,,ROCK,,105,105,70,50,40,20,390
Gigalith,,ROCK,,135,130,85,60,80,25,515
Woobat,,PSYCHIC,FLYING,45,43,65,55,43,72,323
Swoobat,,PSYCHIC,FLYING,57,55,67,77,55,114,425
Drilbur,,GROUND,,85,40,60,30,45,68,328
Excadrill,,GROUND,STEEL,135,60,110,50,65,88,508
Audino,,NORMAL,,60,86,103,60,86,50,445
Audino,Mega Audino,NORMAL,FAIRY,60,126,103,80,126,50,545
Timburr,,FIGHTING,,80,55,75,25,35,35,305
Gurdurr,,FIGHTING,,105,85,85,40,50,40,405
Conkeldurr,,FIGHTING,,140,95,105,55,65,45,505
Tympole,,WATER,,50,40,50,50,40,64,294
Palpitoad,,WATER,GROUND,65,55,75,65,55,69,384
Seismitoad,,WATER,GROUND,95,75,105,85,75,74,509
Throh,,FIGHTING,,100,85,120,30,85,45,465
Sawk,,FIGHTING,,125,75,75,30,75,85,465
Sewaddle,,BUG,GRASS,53,70,45,40,60,42,310
Swadloon,,BUG,GRASS,63,90,55,50,80,42,380
Leavanny,,BUG,GRASS,103,80,75,70,80,92,500
Venipede,,BUG,POISON,45,59,30,30,39,57,260
Whirlipede,,BUG,POISON,55,99,40,40,79,47,360
Scolipede,,BUG,POISON,100,89,60,55,69,112,485
Cottonee,,GRASS,FAIRY,27,60,40,37,50,66,280
Whimsicott,,GRASS,FAIRY,67,85,60,77,75,116,480
Petilil,,GRASS,,35,50,45,70,50,30,280
Lilligant,,GRASS,,60,75,70,110,75,90,480
Basculin,Red-Striped Form,WATER,,92,65,70,80,55,98,460
Basculin,Blue-Striped Form,WATER,,92,65,70,80,55,98,460
Sandile,,GROUND,DARK,72,35,50,35,35,65,292
Krokorok,,GROUND,DARK,82,45,60,45,45,74,351
Krookodile,,GROUND,DARK,117,80,95,65,70,92,519
Darumaka,,FIRE,,90,45,70,15,45,50,315
Darumaka,Galarian Darumaka,ICE,,90,45,70,15,45,50,315
Darmanitan,Standard Mode,FIRE,,140,55,105,30,55,95,480
Darmanitan,Zen Mode,FIRE,PSYCHIC,30,105,105,140,105,55,540
Darmanitan,Galarian Standard Mode,ICE,,140,55,105,30,55,95,480
Darmanitan,Galarian Zen Mode,ICE,FIRE,160,55,105,30,55,135,540
Maractus,,GRASS,,86,67,75,106,67,60,461
Dwebble,,BUG,ROCK,65,85,50,35,35,55,325
Crustle,,BUG,ROCK,105,125,70,65,75,45,485
Scraggy,,DARK,FIGHTING,75,70,50,35,70,48,348
Scrafty,,DARK,FIGHTING,90,115,65,45,115,58,488
Sigilyph,,PSYCHIC,FLYING,58,80,72,103,80,97,490
Yamask,,GHOST,,30,85,38,55,65,30,303
Yamask,Galarian Yamask,GROUND,GHOST,55,85,38,30,65,30,303
Cofagrigus,,GHOST,,50,145,58,95,105,30,483
Tirtouga,,WATER,ROCK,78,103,54,53,45,22,355
Carracosta,,WATER,ROCK,108,133,74,83,65,32,495
Archen,,ROCK,FLYING,112,45,55,74,45,70,401
Archeops,,ROCK,FLYING,140,65,75,112,65,110,567
Trubbish,,POISON,,50,62,50,40,62,65,329
Garbodor,,POISON,,95,82,80,60,82,75,474
Zorua,,DARK,,65,40,40,80,40,65,330
Zoroark,,DARK,,105,60,60,120,60,105,510
Minccino,,NORMAL,,50,40,55,40,40,75,300
Cinccino,,NORMAL,,95,60,75,65,60,115,470
Gothita,,PSYCHIC,,30,50,45,55,65,45,290
Gothorita,,PSYCHIC,,45,70,60,75,85,55,390
Gothitelle,,PSYCHIC,,55,95,70,95,110,65,490
Solosis,,PSYCHIC,,30,40,45,105,50,20,290
Duosion,,PSYCHIC,,40,50,65,125,60,30,370
Reuniclus,,PSYCHIC,,65,75,110,125,85,30,490
Ducklett,,WATER,FLYING,44,50,62,44,50,55,305
Swanna,,WATER,FLYING,87,63,75,87,63,98,473
Vanillite,,ICE,,50,50,36,65,60,44,305
Vanillish,,ICE,,65,65,51,80,75,59,395
Vanilluxe,,ICE,,95,85,71,110,95,79,535
Deerling,,NORMAL,GRASS,60,50,60,40,50,75,335
Sawsbuck,,NORMAL,GRASS,100,70,80,60,70,95,475
Emolga,,ELECTRIC,FLYING,75,60,55,75,60,103,428
Karrablast,,BUG,,75,45,50,40,45,60,315
Escavalier,,BUG,STEEL,135,105,70,60,105,20,495
Foongus,,GRASS,POISON,55,45,69,55,55,15,294
Amoonguss,,GRASS,POISON,85,70,114,85,80,30,464
Frillish,,WATER,GHOST,40,50,55,65,85,40,335
Jellicent,,WATER,GHOST,60,70,100,85,105,60,480
Alomomola,,WATER,,75,80,165,40,45,65,470
Joltik,,BUG,ELECTRIC,47,50,50,57,50,65,319
Galvantula,,BUG,ELECTRIC,77,60,70,97,60,108,472
Ferroseed,,GRASS,STEEL,50,91,44,24,86,10,305
Ferrothorn,,GRASS,STEEL,94,131,74,54,116,20,489
Klink,,STEEL,,55,70,40,45,60,30,300
Klang,,STEEL,,80,95,60,70,85,50,440
Klinklang,,STEEL,,100,115,60,70,85,90,520
Tynamo,,ELECTRIC,,55,40,35,45,40,60,275
Eelektrik,,ELECTRIC,,85,70,65,75,70,40,405
Eelektross,,ELECTRIC,,115,80,85,105,80,50,515
Elgyem,,PSYCHIC,,55,55,55,85,55,30,335
Beheeyem,,PSYCHIC,,75,75,75,125,95,40,485
Litwick,,GHOST,FIRE,30,55,50,65,55,20,275
Lampent,,GHOST,FIRE,40,60,60,95,60,55,370
Chandelure,,GHOST,FIRE,55,90,60,145,90,80,520
Axew,,DRAGON,,87,60,46,30,40,57,320
Fraxure,,DRAGON,,117,70,66,40,50,67,410
Haxorus,,DRAGON,,147,90,76,60,70,97,540
Cubchoo,,ICE,,70,40,55,60,40,40,305
Beartic,,ICE,,130,80,95,70,80,50,505
Cryogonal,,ICE,,50,50,80,95,135,105,515
Shelmet,,BUG,,40,85,50,40,65,25,305
Accelgor,,BUG,,70,40,80,100,60,145,495
Stunfisk,,GROUND,ELECTRIC,66,84,109,81,99,32,471
Stunfisk,Galarian Stunfisk,GROUND,STEEL,81,99,109,66,84,32,471
Mienfoo,,FIGHTING,,85,50,45,55,50,65,350
Mienshao,,FIGHTING,,125,60,65,95,60,105,510
Druddigon,,DRAGON,,120,90,77,60,90,48,485
Golett,,GROUND,GHOST,74,50,59,35,50,35,303
Golurk,,GROUND,GHOST,124,80,89,55,80,55,483
Pawniard,,DARK,STEEL,85,70,45,40,40,60,340
Bisharp,,DARK,STEEL,125,100,65,60,70,70,490
Bouffalant,,NORMAL,,110,95,95,40,95,55,490
Rufflet,,NORMAL,FLYING,83,50,70,37,50,60,350
Braviary,,NORMAL,FLYING,123,75,100,57,75,80,510
Vullaby,,DARK,FLYING,55,75,70,45,65,60,370
Mandibuzz,,DARK,FLYING,65,105,110,55,95,80,510
Heatmor,,FIRE,,97,66,85,105,66,65,484
Durant,,BUG,STEEL,109,112,58,48,48,109,484
Deino,,DARK,DRAGON,65,50,52,45,50,38,300
Zweilous,,DARK,DRAGON,85,70,72,65,70,58,420
Hydreigon,,DARK,DRAGON,105,90,92,125,90,98,600
Larvesta,,BUG,FIRE,85,55,55,50,55,60,360
Volcarona,,BUG,FIRE,60,65,85,135,105,100,550
Cobalion,,STEEL,FIGHTING,90,129,91,90,72,108,580
Terrakion,,ROCK,FIGHTING,129,90,91,72,90,108,580
Virizion,,GRASS,FIGHTING,90,72,91,90,129,108,580
Tornadus,Incarnate Forme,FLYING,,115,70,79,125,80,111,580
Tornadus,Therian Forme,FLYING,,100,80,79,110,90,121,580
Thundurus,Incarnate Forme,ELECTRIC,FLYING,115,70,79,125,80,111,580
Thundurus,Therian Forme,ELECTRIC,FLYING,105,70,79,145,80,101,580
Reshiram,,DRAGON,FIRE,120,100,100,150,120,90,680
Zekrom,,DRAGON,ELECTRIC,150,120,100,120,100,90,680
Landorus,Incarnate Forme,GROUND,FLYING,125,90,89,115,80,101,600
Landorus,Therian Forme,GROUND,FLYING,145,90,89,105,80,91,600
Kyurem,,DRAGON,ICE,130,90,125,130,90,95,660
Kyurem,Black Kyurem,DRAGON,ICE,170,100,125,120,90,95,700
Kyurem,White Kyurem,DRAGON,ICE,120,90,125,170,100,95,700
Keldeo,Ordinary Form,WATER,FIGHTING,72,90,91,129,90,108,580
Keldeo,Resolute Form,WATER,FIGHTING,72,90,91,129,90,108,580
Meloetta,Aria Forme,NORMAL,PSYCHIC,77,77,100,128,128,90,600
Meloetta,Pirouette Forme,NORMAL,FIGHTING,128,90,100,77,77,128,600
Genesect,,BUG,STEEL,120,95,71,120,95,99,600
Chespin,,GRASS,,61,65,56,48,45,38,313
Quilladin,,GRASS,,78,95,61,56,58,57,405
Chesnaught,,GRASS,FIGHTING,107,122,88,74,75,64,530
Fennekin,,FIRE,,45,40,40,62,60,60,307
Braixen,,FIRE,,59,58,59,90,70,73,409
Delphox,,FIRE,PSYCHIC,69,72,75,114,100,104,534
Froakie,,WATER,,56,40,41,62,44,71,314
Frogadier,,WATER,,63,52,54,83,56,97,405
Greninja,,WATER,DARK,95,67,72,103,71,122,530
Greninja,Ash-Greninja,WATER,DARK,145,67,72,153,71,132,640
Bunnelby,,NORMAL,,36,38,38,32,36,57,237
Diggersby,,NORMAL,GROUND,56,77,85,50,77,78,423
Fletchling,,NORMAL,FLYING,50,43,45,40,38,62,278
Fletchinder,,FIRE,FLYING,73,55,62,56,52,84,382
Talonflame,,FIRE,FLYING,81,71,78,74,69,126,499
Scatterbug,,BUG,,35,40,38,27,25,35,200
Spewpa,,BUG,,22,60,45,27,30,29,213
Vivillon,,BUG,FLYING,52,50,80,90,50,89,411
Litleo,,FIRE,NORMAL,50,58,62,73,54,72,369
Pyroar,,FIRE,NORMAL,68,72,86,109,66,106,507
Flabï¿½ï¿,,FAIRY,,38,39,44,61,79,42,303
Floette,,FAIRY,,45,47,54,75,98,52,371
Florges,,FAIRY,,65,68,78,112,154,75,552
Skiddo,,GRASS,,65,48,66,62,57,52,350
Gogoat,,GRASS,,100,62,123,97,81,68,531
Pancham,,FIGHTING,,82,62,67,46,48,43,348
Pangoro,,FIGHTING,DARK,124,78,95,69,71,58,495
Furfrou,,NORMAL,,80,60,75,65,90,102,472
Espurr,,PSYCHIC,,48,54,62,63,60,68,355
Meowstic,Male,PSYCHIC,,48,76,74,83,81,104,466
Meowstic,Female,PSYCHIC,,48,76,74,83,81,104,466
Honedge,,STEEL,GHOST,80,100,45,35,37,28,325
Doublade,,STEEL,GHOST,110,150,59,45,49,35,448
Aegislash,Shield Forme,STEEL,GHOST,50,140,60,50,140,60,500
Aegislash,Blade Forme,STEEL,GHOST,140,50,60,140,50,60,500
Spritzee,,FAIRY,,52,60,78,63,65,23,341
Aromatisse,,FAIRY,,72,72,101,99,89,29,462
Swirlix,,FAIRY,,48,66,62,59,57,49,341
Slurpuff,,FAIRY,,80,86,82,85,75,72,480
Inkay,,DARK,PSYCHIC,54,53,53,37,46,45,288
Malamar,,DARK,PSYCHIC,92,88,86,68,75,73,482
Binacle,,ROCK,WATER,52,67,42,39,56,50,306
Barbaracle,,ROCK,WATER,105,115,72,54,86,68,500
Skrelp,,POISON,WATER,60,60,50,60,60,30,320
Dragalge,,POISON,DRAGON,75,90,65,97,123,44,494
Clauncher,,WATER,,53,62,50,58,63,44,330
Clawitzer,,WATER,,73,88,71,120,89,59,500
Helioptile,,ELECTRIC,NORMAL,38,33,44,61,43,70,289
Heliolisk,,ELECTRIC,NORMAL,55,52,62,109,94,109,481
Tyrunt,,ROCK,DRAGON,89,77,58,45,45,48,362
Tyrantrum,,ROCK,DRAGON,121,119,82,69,59,71,521
Amaura,,ROCK,ICE,59,50,77,67,63,46,362
Aurorus,,ROCK,ICE,77,72,123,99,92,58,521
Sylveon,,FAIRY,,65,65,95,110,130,60,525
Hawlucha,,FIGHTING,FLYING,92,75,78,74,63,118,500
Dedenne,,ELECTRIC,FAIRY,58,57,67,81,67,101,431
Carbink,,ROCK,FAIRY,50,150,50,50,150,50,500
Goomy,,DRAGON,,50,35,45,55,75,40,300
Sliggoo,,DRAGON,,75,53,68,83,113,60,452
Goodra,,DRAGON,,100,70,90,110,150,80,600
Klefki,,STEEL,FAIRY,80,91,57,80,87,75,470
Phantump,,GHOST,GRASS,70,48,43,50,60,38,309
Trevenant,,GHOST,GRASS,110,76,85,65,82,56,474
Pumpkaboo,Average Size,GHOST,GRASS,66,70,49,44,55,51,335
Pumpkaboo,Small Size,GHOST,GRASS,66,70,44,44,55,56,335
Pumpkaboo,Large Size,GHOST,GRASS,66,70,54,44,55,46,335
Pumpkaboo,Super Size,GHOST,GRASS,66,70,59,44,55,41,335
Gourgeist,Average Size,GHOST,GRASS,90,122,65,58,75,84,494
Gourgeist,Small Size,GHOST,GRASS,85,122,55,58,75,99,494
Gourgeist,Large Size,GHOST,GRASS,95,122,75,58,75,69,494
Gourgeist,Super Size,GHOST,GRASS,100,122,85,58,75,54,494
Bergmite,,ICE,,69,85,55,32,35,28,304
Avalugg,,ICE,,117,184,95,44,46,28,514
Noibat,,FLYING,DRAGON,30,35,40,45,40,55,245
Noivern,,FLYING,DRAGON,70,80,85,97,80,123,535
Xerneas,,FAIRY,,131,95,126,131,98,99,680
Yveltal,,DARK,FLYING,131,95,126,131,98,99,680
Zygarde,50% Forme,DRAGON,GROUND,100,121,108,81,95,95,600
Zygarde,10% Forme,DRAGON,GROUND,100,71,54,61,85,115,486
Zygarde,Complete Forme,DRAGON,GROUND,100,121,216,91,95,85,708
Diancie,,ROCK,FAIRY,100,150,50,100,150,50,600
Diancie,Mega Diancie,ROCK,FAIRY,160,110,50,160,110,110,700
Hoopa,Hoopa Confined,PSYCHIC,GHOST,110,60,80,150,130,70,600
Hoopa,Hoopa Unbound,PSYCHIC,DARK,160,60,80,170,130,80,680
Volcanion,,FIRE,WATER,110,120,80,130,90,70,600
Rowlet,,GRASS,FLYING,55,55,68,50,50,42,320
Dartrix,,GRASS,FLYING,75,75,78,70,70,52,420
Decidueye,,GRASS,GHOST,107,75,78,100,100,70,530
Litten,,FIRE,,65,40,45,60,40,70,320
Torracat,,FIRE,,85,50,65,80,50,90,420
Incineroar,,FIRE,DARK,115,90,95,80,90,60,530
Popplio,,WATER,,54,54,50,66,56,40,320
Brionne,,WATER,,69,69,60,91,81,50,420
Primarina,,WATER,FAIRY,74,74,80,126,116,60,530
Pikipek,,NORMAL,FLYING,75,30,35,30,30,65,265
Trumbeak,,NORMAL,FLYING,85,50,55,40,50,75,355
Toucannon,,NORMAL,FLYING,120,75,80,75,75,60,485
Yungoos,,NORMAL,,70,30,48,30,30,45,253
Gumshoos,,NORMAL,,110,60,88,55,60,45,418
Grubbin,,BUG,,62,45,47,55,45,46,300
Charjabug,,BUG,ELECTRIC,82,95,57,55,75,36,400
Vikavolt,,BUG,ELECTRIC,70,90,77,145,75,43,500
Crabrawler,,FIGHTING,,82,57,47,42,47,63,338
Crabominable,,FIGHTING,ICE,132,77,97,62,67,43,478
Oricorio,Baile Style,FIRE,FLYING,70,70,75,98,70,93,476
Oricorio,Pom-Pom Style,ELECTRIC,FLYING,70,70,75,98,70,93,476
Oricorio,Pa'u Style,PSYCHIC,FLYING,70,70,75,98,70,93,476
Oricorio,Sensu Style,GHOST,FLYING,70,70,75,98,70,93,476
Cutiefly,,BUG,FAIRY,45,40,40,55,40,84,304
Ribombee,,BUG,FAIRY,55,60,60,95,70,124,464
Rockruff,,ROCK,,65,40,45,30,40,60,280
Rockruff,Own Tempo Rockruff,ROCK,,65,40,45,30,40,60,280
Lycanroc,Midday Form,ROCK,,115,65,75,55,65,112,487
Lycanroc,Midnight Form,ROCK,,115,75,85,55,75,82,487
Lycanroc,Dusk Form,ROCK,,117,65,75,55,65,110,487
Wishiwashi,Solo Form,WATER,,20,20,45,25,25,40,175
Wishiwashi,School Form,WATER,,140,130,45,140,135,30,620
Mareanie,,POISON,WATER,53,62,50,43,52,45,305
Toxapex,,POISON,WATER,63,152,50,53,142,35,495
Mudbray,,GROUND,,100,70,70,45,55,45,385
Mudsdale,,GROUND,,125,100,100,55,85,35,500
Dewpider,,WATER,BUG,40,52,38,40,72,27,269
Araquanid,,WATER,BUG,70,92,68,50,132,42,454
Fomantis,,GRASS,,55,35,40,50,35,35,250
Lurantis,,GRASS,,105,90,70,80,90,45,480
Morelull,,GRASS,FAIRY,35,55,40,65,75,15,285
Shiinotic,,GRASS,FAIRY,45,80,60,90,100,30,405
Salandit,,POISON,FIRE,44,40,48,71,40,77,320
Salazzle,,POISON,FIRE,64,60,68,111,60,117,480
Stufful,,NORMAL,FIGHTING,75,50,70,45,50,50,340
Bewear,,NORMAL,FIGHTING,125,80,120,55,60,60,500
Bounsweet,,GRASS,,30,38,42,30,38,32,210
Steenee,,GRASS,,40,48,52,40,48,62,290
Tsareena,,GRASS,,120,98,72,50,98,72,510
Comfey,,FAIRY,,52,90,51,82,110,100,485
Oranguru,,NORMAL,PSYCHIC,60,80,90,90,110,60,490
Passimian,,FIGHTING,,120,90,100,40,60,80,490
Wimpod,,BUG,WATER,35,40,25,20,30,80,230
Golisopod,,BUG,WATER,125,140,75,60,90,40,530
Sandygast,,GHOST,GROUND,55,80,55,70,45,15,320
Palossand,,GHOST,GROUND,75,110,85,100,75,35,480
Pyukumuku,,WATER,,60,130,55,30,130,5,410
Type: Null,,NORMAL,,95,95,95,95,95,59,534
Silvally,,NORMAL,,95,95,95,95,95,95,570
Minior,Meteor Form,ROCK,FLYING,60,100,60,60,100,60,440
Minior,Core Form,ROCK,FLYING,100,60,60,100,60,120,500
Komala,,NORMAL,,115,65,65,75,95,65,480
Turtonator,,FIRE,DRAGON,78,135,60,91,85,36,485
Togedemaru,,ELECTRIC,STEEL,98,63,65,40,73,96,435
